user_id,week_number,is_active,events_count
1,0,1,4
1,1,1,6
1,2,1,2
1,3,1,4
1,4,1,6
1,5,1,6
1,6,1,1
1,7,1,4
1,8,1,1
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
2,0,1,5
2,1,1,2
2,2,1,7
2,3,1,4
2,4,1,3
2,5,1,9
2,6,1,4
2,7,1,6
2,8,0,0
2,9,0,0
2,10,0,0
2,11,0,0
2,12,0,0
3,0,1,1
3,1,1,1
3,2,0,0
3,3,0,0
3,4,0,0
3,5,0,0
3,6,0,0
3,7,0,0
3,8,0,0
3,9,0,0
3,10,0,0
3,11,0,0
3,12,0,0
4,0,1,3
4,1,1,5
4,2,1,1
4,3,1,4
4,4,1,6
4,5,1,4
4,6,1,3
4,7,1,1
4,8,1,3
4,9,1,3
4,10,1,4
4,11,1,4
4,12,1,4
5,0,1,6
5,1,1,2
5,2,1,0
5,3,1,3
5,4,0,0
5,5,0,0
5,6,0,0
5,7,0,0
5,8,0,0
5,9,0,0
5,10,0,0
5,11,0,0
5,12,0,0
6,0,1,2
6,1,1,5
6,2,1,5
6,3,1,5
6,4,1,2
6,5,1,2
6,6,1,2
6,7,1,3
6,8,1,4
6,9,1,0
6,10,1,8
6,11,1,4
6,12,1,7
7,0,1,7
7,1,1,1
7,2,1,6
7,3,1,4
7,4,1,5
7,5,1,9
7,6,0,0
7,7,0,0
7,8,0,0
7,9,0,0
7,10,0,0
7,11,0,0
7,12,0,0
8,0,1,7
8,1,1,3
8,2,1,3
8,3,1,5
8,4,1,4
8,5,1,1
8,6,0,0
8,7,0,0
8,8,0,0
8,9,0,0
8,10,0,0
8,11,0,0
8,12,0,0
9,0,1,4
9,1,1,4
9,2,1,3
9,3,1,5
9,4,1,2
9,5,1,4
9,6,1,3
9,7,1,6
9,8,1,6
9,9,1,2
9,10,1,2
9,11,1,9
9,12,1,0
10,0,1,5
10,1,1,3
10,2,1,3
10,3,1,4
10,4,1,5
10,5,1,6
10,6,1,3
10,7,1,3
10,8,1,3
10,9,1,3
10,10,1,3
10,11,1,6
10,12,1,2
11,0,1,5
11,1,0,0
11,2,0,0
11,3,0,0
11,4,0,0
11,5,0,0
11,6,0,0
11,7,0,0
11,8,0,0
11,9,0,0
11,10,0,0
11,11,0,0
11,12,0,0
12,0,1,2
12,1,1,2
12,2,1,4
12,3,1,4
12,4,1,2
12,5,1,5
12,6,1,3
12,7,1,5
12,8,1,3
12,9,1,1
12,10,1,1
12,11,1,1
12,12,1,3
13,0,1,3
13,1,1,4
13,2,1,5
13,3,1,3
13,4,1,6
13,5,1,2
13,6,1,2
13,7,1,3
13,8,1,3
13,9,1,3
13,10,1,3
13,11,1,1
13,12,1,2
14,0,1,4
14,1,1,7
14,2,1,5
14,3,0,0
14,4,0,0
14,5,0,0
14,6,0,0
14,7,0,0
14,8,0,0
14,9,0,0
14,10,0,0
14,11,0,0
14,12,0,0
15,0,1,3
15,1,1,5
15,2,1,3
15,3,1,5
15,4,1,1
15,5,1,4
15,6,1,4
15,7,1,2
15,8,1,1
15,9,0,0
15,10,0,0
15,11,0,0
15,12,0,0
16,0,1,5
16,1,1,0
16,2,1,2
16,3,1,2
16,4,1,2
16,5,1,4
16,6,1,3
16,7,1,2
16,8,0,0
16,9,0,0
16,10,0,0
16,11,0,0
16,12,0,0
17,0,1,6
17,1,0,0
17,2,0,0
17,3,0,0
17,4,0,0
17,5,0,0
17,6,0,0
17,7,0,0
17,8,0,0
17,9,0,0
17,10,0,0
17,11,0,0
17,12,0,0
18,0,1,2
18,1,1,6
18,2,1,3
18,3,1,4
18,4,1,8
18,5,1,0
18,6,1,8
18,7,1,4
18,8,1,1
18,9,1,8
18,10,1,5
18,11,1,5
18,12,1,6
19,0,1,5
19,1,1,2
19,2,1,3
19,3,1,4
19,4,1,1
19,5,1,1
19,6,1,5
19,7,1,4
19,8,0,0
19,9,0,0
19,10,0,0
19,11,0,0
19,12,0,0
20,0,1,9
20,1,0,0
20,2,0,0
20,3,0,0
20,4,0,0
20,5,0,0
20,6,0,0
20,7,0,0
20,8,0,0
20,9,0,0
20,10,0,0
20,11,0,0
20,12,0,0
21,0,1,2
21,1,1,4
21,2,1,5
21,3,1,5
21,4,1,4
21,5,0,0
21,6,0,0
21,7,0,0
21,8,0,0
21,9,0,0
21,10,0,0
21,11,0,0
21,12,0,0
22,0,1,13
22,1,1,3
22,2,1,2
22,3,1,1
22,4,1,1
22,5,1,2
22,6,1,0
22,7,1,4
22,8,1,1
22,9,1,2
22,10,0,0
22,11,0,0
22,12,0,0
23,0,1,2
23,1,1,3
23,2,1,3
23,3,1,2
23,4,1,7
23,5,1,5
23,6,1,4
23,7,1,4
23,8,1,7
23,9,1,2
23,10,1,6
23,11,1,4
23,12,0,0
24,0,1,3
24,1,1,6
24,2,0,0
24,3,0,0
24,4,0,0
24,5,0,0
24,6,0,0
24,7,0,0
24,8,0,0
24,9,0,0
24,10,0,0
24,11,0,0
24,12,0,0
25,0,1,4
25,1,1,2
25,2,1,1
25,3,1,3
25,4,1,4
25,5,1,7
25,6,1,6
25,7,0,0
25,8,0,0
25,9,0,0
25,10,0,0
25,11,0,0
25,12,0,0
26,0,1,6
26,1,1,4
26,2,1,0
26,3,1,1
26,4,1,6
26,5,1,3
26,6,1,1
26,7,1,4
26,8,1,2
26,9,1,0
26,10,1,3
26,11,1,2
26,12,1,2
27,0,1,7
27,1,1,0
27,2,1,0
27,3,1,1
27,4,1,4
27,5,1,1
27,6,1,1
27,7,1,3
27,8,1,1
27,9,1,1
27,10,1,0
27,11,1,3
27,12,1,5
28,0,1,11
28,1,1,4
28,2,1,3
28,3,1,4
28,4,1,3
28,5,1,7
28,6,1,3
28,7,1,3
28,8,1,4
28,9,1,2
28,10,1,4
28,11,1,4
28,12,1,4
29,0,1,2
29,1,1,4
29,2,0,0
29,3,0,0
29,4,0,0
29,5,0,0
29,6,0,0
29,7,0,0
29,8,0,0
29,9,0,0
29,10,0,0
29,11,0,0
29,12,0,0
30,0,1,6
30,1,0,0
30,2,0,0
30,3,0,0
30,4,0,0
30,5,0,0
30,6,0,0
30,7,0,0
30,8,0,0
30,9,0,0
30,10,0,0
30,11,0,0
30,12,0,0
31,0,1,11
31,1,1,2
31,2,1,1
31,3,1,0
31,4,1,1
31,5,1,3
31,6,1,2
31,7,1,3
31,8,1,3
31,9,1,2
31,10,1,1
31,11,1,1
31,12,1,2
32,0,1,3
32,1,1,1
32,2,1,2
32,3,1,4
32,4,1,2
32,5,1,2
32,6,1,1
32,7,1,2
32,8,1,3
32,9,1,1
32,10,1,1
32,11,1,4
32,12,1,5
33,0,1,3
33,1,1,3
33,2,1,2
33,3,1,4
33,4,1,4
33,5,1,2
33,6,1,4
33,7,1,4
33,8,0,0
33,9,0,0
33,10,0,0
33,11,0,0
33,12,0,0
34,0,1,3
34,1,1,3
34,2,1,2
34,3,1,2
34,4,1,4
34,5,1,5
34,6,1,3
34,7,1,6
34,8,1,1
34,9,1,4
34,10,1,2
34,11,1,1
34,12,1,0
35,0,1,3
35,1,0,0
35,2,0,0
35,3,0,0
35,4,0,0
35,5,0,0
35,6,0,0
35,7,0,0
35,8,0,0
35,9,0,0
35,10,0,0
35,11,0,0
35,12,0,0
36,0,1,4
36,1,1,3
36,2,1,2
36,3,1,5
36,4,1,2
36,5,1,4
36,6,1,2
36,7,1,3
36,8,1,2
36,9,1,5
36,10,1,6
36,11,1,3
36,12,1,2
37,0,1,2
37,1,1,2
37,2,1,2
37,3,1,1
37,4,1,1
37,5,1,1
37,6,0,0
37,7,0,0
37,8,0,0
37,9,0,0
37,10,0,0
37,11,0,0
37,12,0,0
38,0,1,5
38,1,1,4
38,2,1,3
38,3,1,4
38,4,1,1
38,5,1,3
38,6,1,1
38,7,1,0
38,8,1,0
38,9,1,2
38,10,1,2
38,11,1,1
38,12,1,2
39,0,1,9
39,1,1,2
39,2,1,5
39,3,1,4
39,4,0,0
39,5,0,0
39,6,0,0
39,7,0,0
39,8,0,0
39,9,0,0
39,10,0,0
39,11,0,0
39,12,0,0
40,0,1,2
40,1,0,0
40,2,0,0
40,3,0,0
40,4,0,0
40,5,0,0
40,6,0,0
40,7,0,0
40,8,0,0
40,9,0,0
40,10,0,0
40,11,0,0
40,12,0,0
41,0,1,4
41,1,1,3
41,2,0,0
41,3,0,0
41,4,0,0
41,5,0,0
41,6,0,0
41,7,0,0
41,8,0,0
41,9,0,0
41,10,0,0
41,11,0,0
41,12,0,0
42,0,1,2
42,1,0,0
42,2,0,0
42,3,0,0
42,4,0,0
42,5,0,0
42,6,0,0
42,7,0,0
42,8,0,0
42,9,0,0
42,10,0,0
42,11,0,0
42,12,0,0
43,0,1,5
43,1,1,2
43,2,1,4
43,3,1,3
43,4,1,4
43,5,1,1
43,6,1,4
43,7,1,3
43,8,1,7
43,9,1,0
43,10,1,3
43,11,1,0
43,12,1,3
44,0,1,4
44,1,0,0
44,2,0,0
44,3,0,0
44,4,0,0
44,5,0,0
44,6,0,0
44,7,0,0
44,8,0,0
44,9,0,0
44,10,0,0
44,11,0,0
44,12,0,0
45,0,1,11
45,1,0,0
45,2,0,0
45,3,0,0
45,4,0,0
45,5,0,0
45,6,0,0
45,7,0,0
45,8,0,0
45,9,0,0
45,10,0,0
45,11,0,0
45,12,0,0
46,0,1,2
46,1,1,4
46,2,1,2
46,3,1,1
46,4,1,2
46,5,1,3
46,6,1,1
46,7,1,1
46,8,1,3
46,9,1,4
46,10,1,2
46,11,1,6
46,12,1,3
47,0,1,2
47,1,1,1
47,2,1,2
47,3,1,4
47,4,0,0
47,5,0,0
47,6,0,0
47,7,0,0
47,8,0,0
47,9,0,0
47,10,0,0
47,11,0,0
47,12,0,0
48,0,1,6
48,1,1,2
48,2,1,2
48,3,1,5
48,4,1,4
48,5,1,1
48,6,1,2
48,7,1,4
48,8,1,3
48,9,1,5
48,10,1,2
48,11,1,3
48,12,1,4
49,0,1,3
49,1,1,0
49,2,0,0
49,3,0,0
49,4,0,0
49,5,0,0
49,6,0,0
49,7,0,0
49,8,0,0
49,9,0,0
49,10,0,0
49,11,0,0
49,12,0,0
50,0,1,4
50,1,1,2
50,2,1,3
50,3,1,1
50,4,1,2
50,5,1,4
50,6,1,5
50,7,1,3
50,8,1,2
50,9,1,1
50,10,1,3
50,11,1,2
50,12,1,3
51,0,1,5
51,1,1,5
51,2,1,6
51,3,1,4
51,4,1,2
51,5,1,2
51,6,1,7
51,7,1,5
51,8,1,1
51,9,1,7
51,10,0,0
51,11,0,0
51,12,0,0
52,0,1,5
52,1,1,1
52,2,1,5
52,3,1,6
52,4,1,1
52,5,1,7
52,6,1,1
52,7,1,1
52,8,1,5
52,9,1,2
52,10,1,4
52,11,1,5
52,12,1,3
53,0,1,5
53,1,1,3
53,2,1,2
53,3,1,2
53,4,1,1
53,5,1,2
53,6,1,1
53,7,1,5
53,8,1,5
53,9,1,0
53,10,1,3
53,11,1,1
53,12,1,2
54,0,1,6
54,1,1,5
54,2,1,0
54,3,1,3
54,4,0,0
54,5,0,0
54,6,0,0
54,7,0,0
54,8,0,0
54,9,0,0
54,10,0,0
54,11,0,0
54,12,0,0
55,0,1,3
55,1,1,7
55,2,1,4
55,3,1,2
55,4,1,4
55,5,1,6
55,6,0,0
55,7,0,0
55,8,0,0
55,9,0,0
55,10,0,0
55,11,0,0
55,12,0,0
56,0,1,4
56,1,1,3
56,2,1,1
56,3,1,2
56,4,1,0
56,5,1,3
56,6,1,0
56,7,1,0
56,8,1,0
56,9,1,0
56,10,1,2
56,11,1,3
56,12,0,0
57,0,1,10
57,1,1,2
57,2,1,2
57,3,1,2
57,4,0,0
57,5,0,0
57,6,0,0
57,7,0,0
57,8,0,0
57,9,0,0
57,10,0,0
57,11,0,0
57,12,0,0
58,0,1,6
58,1,1,5
58,2,1,4
58,3,1,2
58,4,1,2
58,5,1,3
58,6,1,1
58,7,1,5
58,8,1,1
58,9,1,3
58,10,1,2
58,11,1,4
58,12,1,3
59,0,1,3
59,1,1,0
59,2,1,4
59,3,1,1
